cluster_id,volume_twitter,engagement_twitter,velocity_fused,sentiment_mean,sentiment_var,trends_interest,trends_velocity,trends_topics,sample_users
8cdd62d8774b0ed26ddc3156dd3fbbae,22,0.4689,0.6246,-0.0227,0.1,0.0,0.0,,
3d0af0599f00359dc547922e5597efcd,103,0.3507,0.5155,-0.1442,0.1,0.0,0.0,,
ada0fb211c2dc5cf7b67776df9418fd3,89,0.061,0.3578,-0.3256,0.1,0.0,0.0,,
e075c2b0f8be6ec0e2f4e39cf66b9940,90,0.2287,0.3668,0.3838,0.1,0.0,0.0,,
76a60e49ffa2167bc796b11925d39765,105,0.4516,0.0311,0.1043,0.1,0.0,0.0,,
4b449676505dd933fc9f3b67ecb70e38,78,0.3881,0.5103,-0.3938,0.1,0.0,0.0,,
8df385533909497f247163efaf71a47d,73,0.1586,0.5151,0.0164,0.1,0.0,0.0,,
88013aab2a80138525689af707b11e93,51,0.4363,0.1274,0.3282,0.1,0.0,0.0,,
153ec577043af2abbb9d790e6dfb64b1,117,0.444,0.643,-0.1037,0.1,0.0,0.0,,
42688de2a4b9214edde4d0be18c80873,27,0.0426,0.4302,-0.2636,0.1,0.0,0.0,,
fdfc312229153b6f6ab9590a18088a3a,119,0.3742,0.5512,-0.131,0.1,0.0,0.0,,
d8ada3dbc01e0c1e0317dca938ec2c13,66,0.3502,0.3884,0.1026,0.1,0.0,0.0,,
81a8928ea497649862e8ade2f42a65b5,45,0.1725,0.213,-0.3034,0.1,0.0,0.0,,
bd2436eac04b817bedcad85b36597869,86,0.3663,0.5366,0.3371,0.1,0.0,0.0,,
7fbc666623af2d61fc8fc18b6364d3b7,40,0.3957,0.0161,0.1802,0.1,0.0,0.0,,
242a710ff6504b6fbb242d9075db267c,103,0.4707,0.0847,-0.0537,0.1,0.0,0.0,,
62a69218c166ecc8f4f9aa8243516f1e,27,0.4035,0.3746,0.103,0.1,0.0,0.0,,
fa3f16cbe5f69fa9e84a2af62e59b483,18,0.0466,0.6316,-0.2438,0.1,0.0,0.0,,
0f98548098394eb07943cf59aab49f1c,21,0.1659,0.0515,-0.2766,0.1,0.0,0.0,,
d6e6cee7e820b62b777abe45d41c5ecd,49,0.1607,0.6439,-0.1131,0.1,0.0,0.0,,
e0ac5547ce06aa93d5e1e4c936966739,7,0.0681,0.0741,0.3251,0.1,0.0,0.0,,
0294a7ed1adf32db20a974490049fa69,115,0.4305,0.1129,-0.1517,0.1,0.0,0.0,,
f2b6d9d36c8969675ba1b8f12fa53744,58,0.0555,0.3478,-0.2155,0.1,0.0,0.0,,
6e812ec44b6c1edc3008cf0fd09f14f7,95,0.1479,0.2686,0.3841,0.1,0.0,0.0,,
0af43b5088ee4cd07724a6fa3c840f1b,75,0.3185,0.0747,0.3195,0.1,0.0,0.0,,
db68f533d44e238c86b8bdad3e39c315,50,0.2767,0.3887,-0.2149,0.1,0.0,0.0,,
7c5f7fca0c60f531db259b52b86d0834,17,0.459,0.3837,0.1918,0.1,0.0,0.0,,
008f8a0f48df3cf01a6a21df89432cea,28,0.3531,0.3213,0.0836,0.1,0.0,0.0,,
162d0a51e7d1767211b472a45ffc500e,100,0.4623,0.4031,-0.0901,0.1,0.0,0.0,,
5d315bb79369d5111132f9e5156c63a1,50,0.1818,0.1621,0.0658,0.1,0.0,0.0,,
f3cf4478c67d00d94556268e0c83dcd8,116,0.0447,0.3378,-0.1074,0.1,0.0,0.0,,
538f3d6043b38455c1814a4f3986c0b9,42,0.0508,0.1094,-0.3312,0.1,0.0,0.0,,
243aae367195cfe58d09005ecb184fe4,87,0.2612,0.4367,0.2898,0.1,0.0,0.0,,
6ad29617271a8f7fd52d8529dd0a61de,70,0.2617,0.4006,-0.2893,0.1,0.0,0.0,,
a7ebeb026e8b2f4380d5b838e568d91d,60,0.1482,0.1067,-0.0733,0.1,0.0,0.0,,
bacbc73ab18f0ac5103c96fb6800a10d,93,0.2504,0.6174,-0.0819,0.1,0.0,0.0,,
88f8cfcfc8e1d4d1a7ac0b66dd335ad8,113,0.2914,0.1022,-0.0824,0.1,0.0,0.0,,
4625fd4a13be55fe2c40b2fb835ddecb,22,0.332,0.5795,-0.1458,0.1,0.0,0.0,,
fb3adba78eeb69aa491d2adae3b43047,23,0.3537,0.4149,-0.0811,0.1,0.0,0.0,,
58087fc006feedd3e363040342a45e4d,101,0.0529,0.0996,-0.3244,0.1,0.0,0.0,,
5320e1c4c5c9745f2a0fae4976e481ac,107,0.3015,0.4342,0.3477,0.1,0.0,0.0,,
6ca16f6f114737146603cdacb25a04be,116,0.1808,0.2447,-0.1557,0.1,0.0,0.0,,
a29e4035e883cb898a739d9d64fe20c3,40,0.0807,0.3009,-0.0201,0.1,0.0,0.0,,
915832511e7b422bc1c00c9d3d225ccc,103,0.0957,0.295,-0.3701,0.1,0.0,0.0,,
7e4fa4b01f3caf1a4191f2a73b2cbf9d,26,0.404,0.4474,0.1208,0.1,0.0,0.0,,
920c5ea56464ce8b94141e612292335f,25,0.0499,0.5264,0.2562,0.1,0.0,0.0,,
688b3e39399839f87ea457bbc8d7486d,55,0.2587,0.219,0.3014,0.1,0.0,0.0,,
43818eb0c6d7ba1069726312cbc55d7a,29,0.3388,0.1324,-0.0773,0.1,0.0,0.0,,
a461a2fa41793580d91a245635b6bde7,109,0.3784,0.2878,0.1321,0.1,0.0,0.0,,
259b675d57dc8502a3649d059feb930b,109,0.3523,0.6779,-0.3906,0.1,0.0,0.0,,
29c855a2a48819ff3d403c40d8ec38f0,23,0.2775,0.6251,-0.332,0.1,0.0,0.0,,
80dc5f799cb18138249aa1af3ca00137,98,0.0203,0.5571,-0.0414,0.1,0.0,0.0,,
e55863d6c88fb054415c223ed73866d6,35,0.2757,0.2972,-0.307,0.1,0.0,0.0,,
971be0c6d18a3b5a5d12fb5d5ecdc00f,76,0.4872,0.4214,-0.3172,0.1,0.0,0.0,,
